year,tu,td
2087,2.78409708588481,2.26840343727897
2088,2.82713835527538,2.30755958033216
2089,2.87073688243586,2.34702704566359
2090,2.91568805014809,2.38687880885786
2091,2.96197024071269,2.42718121640225
2092,3.00826914360775,2.46790385834081
2093,3.0551984825327,2.50906146560418
2094,3.0997619064779,2.55045775250061
2095,3.14292284827957,2.5919777064128
2096,3.18603670582446,2.63360936109157
2097,3.22890809351448,2.67532789625976
2098,3.27268748440271,2.71719085619682
2099,3.31677321616479,2.75920958798338
2100,3.36213377105713,2.80146251473318
2101,3.40882741507007,2.84402664694879
2102,3.45590396708518,2.88690700954395
2103,3.50120772257749,2.92995720351334
2104,3.54606370341873,2.97313394702671
2105,3.59003931636427,3.01636667530989
2106,3.63298223013654,3.05957909339214
2107,3.67619953466648,3.10279185391665
2108,3.7195570790921,3.14601476089694
2109,3.76351551270082,3.18928921358336
2110,3.80813069898988,3.23265762488065
2111,3.85393774895158,3.27619693597554
2112,3.90173656177952,3.32003475295188
2113,3.94718149553539,3.36398519667213
2114,3.99201252555343,3.40799735188013
2115,4.03464498905174,3.45191281829312
2116,4.07781316504281,3.49577591459334
2117,4.12001261497747,3.53952242255626
2118,4.16253057114142,3.58318283360911
2119,4.20529403980118,3.62678038693905
2120,4.24855146208817,3.6703541038855
2121,4.29327842698609,3.71400864044839
2122,4.33919031591777,3.75782137226528
2123,4.3855982329411,3.80181597466144
2124,4.4284384358786,3.84572967674354
2125,4.47187206988663,3.88960973565501
2126,4.51311100000403,3.93330470426059
2127,4.55380601254745,3.97678943594533
2128,4.59500068339991,4.02011368016695
2129,4.63632590079698,4.0632978325887
2130,4.67842805983019,4.10640615891378
2131,4.72189641981075,4.14953971639744
2132,4.7679961527778,4.19288114345898
2133,4.81172743956489,4.23624989189008
2134,4.85488313779806,4.27960370976331
2135,4.89587787105704,4.32279220298678
2136,4.9354900656546,4.36573006920254
2137,4.97414794046842,4.40836799362085
2138,5.01383580415011,4.45079917778274
2139,5.05363260729507,4.49304574452296
2140,5.09363478189495,4.53513502426199
2141,5.13410618304285,4.57711092306936
2142,5.17583640977115,4.61906960517742
2143,5.2179040608971,4.66103592383425
2144,5.25867400262411,4.70291840039585
2145,5.2991198212184,4.74470019596709
2146,5.33875547785653,4.7863315901219
2147,5.37694161911645,4.82772154095384
2148,5.41571736102479,4.86892828802441
2149,5.45373956453715,4.90991186228243
2150,5.49178176732448,4.95068930522777
2151,5.52991657253105,4.99128155212039
2152,5.56817164707389,5.03171000997473
2153,5.60760162574438,5.07206849440786
2154,5.64848576867989,5.11246381698885
2155,5.6891433996444,5.15287752214135
2156,5.72768639429343,5.19316012790177
2157,5.7652385785527,5.23325138572338
2158,5.80151362524007,5.27307520346871
2159,5.83669226654933,5.3125734872494
2160,5.87163300323681,5.3517523781298
2161,5.90691628722619,5.39065826487928
2162,5.94294116328571,5.4293622503996
2163,5.98022409294852,5.46796664832543
2164,6.01906785408891,5.50658782082533
2165,6.05823476502662,5.54524723867496
2166,6.09411804753605,5.58371210495994
2167,6.13013556248252,5.62200546086313
2168,6.16319222361402,5.65993182919671
2169,6.19587753680104,5.69749090438562
2170,6.22869017367008,5.73471734917707
2171,6.26183523739595,5.77165777078345
2172,6.29538030405499,5.80836024591512
2173,6.32978332032146,5.84490157496952
2174,6.36580179343034,5.88140626227925
2175,6.40126443353715,5.917837922921
2176,6.43634507446525,5.95417490410123
2177,6.47010472782223,5.99033126614759
2178,6.50211923265951,6.02619736684075
2179,6.53292677292945,6.06170896361945
2180,6.56381942058221,6.0968968644434
2181,6.59439226676059,6.13176134223779
2182,6.62509644038743,6.16633426591611
2183,6.65570107173264,6.20062909166774
2184,6.68643074882865,6.23467407180157
2185,6.71752277067689,6.26851210861876
2186,6.74930383516062,6.30220599281481
2187,6.78253062198001,6.33586714282671
2188,6.814090455158,6.36938103255488
2189,6.84537978782937,6.40273902532452
